,neighbourhood_group, mean_price,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,new_price
3491,Brooklyn,120.22525762129668,4653508,1 BR in shiny new building + bikes!,6349214,David,Fort Greene,40.69492,-73.97061,Entire home/apt,100,3,4,2017-12-30,0.06,1,0,10000
3492,Brooklyn,120.22525762129668,4654785,"Parkslope, 1 bdrm, steps to subway",24094211,Rebecca,Park Slope,40.67256,-73.97229,Entire home/apt,115,5,4,2017-01-02,0.06,1,0,11500
3493,Brooklyn,120.22525762129668,4660964,"Cozy 1BR, 5 minutes from the train",24118443,Megan,Williamsburg,40.7193,-73.94502,Entire home/apt,98,2,18,2018-12-28,0.26,1,0,9800
3494,Brooklyn,120.22525762129668,4661135,SUNNY GUEST BDRM in Fort Greene!,3175065,Taya,Fort Greene,40.69207,-73.97407,Private room,68,20,20,2020-02-01,0.31,1,152,6800
3495,Brooklyn,120.22525762129668,4662784,Lovely Duplex in Brooklyn,21688465,William,Crown Heights,40.67489,-73.93081,Private room,171,3,155,2019-11-09,2.39,1,16,17100
3496,Brooklyn,120.22525762129668,4671552,Garden Level Brooklyn Brownstone,10860081,Hillary,Clinton Hill,40.68241,-73.96354,Entire home/apt,130,1,9,2015-12-27,0.13,1,0,13000
3497,Brooklyn,120.22525762129668,4672452,"Great bright 1BR,in true BK style",3108161,Michelle,Williamsburg,40.71596,-73.95876,Entire home/apt,170,3,22,2017-09-26,0.32,1,0,17000
3498,Brooklyn,120.22525762129668,4677654,"Good, clean quite, and private!",10387090,Luis Enrique,Bushwick,40.68348,-73.90817,Private room,39,30,6,2015-09-01,0.09,9,364,3900
3499,Brooklyn,120.22525762129668,4678795,sunny & spacious one-bedroom,24048208,Maura,Bedford-Stuyvesant,40.6848,-73.95728,Entire home/apt,140,3,0,,,1,0,14000
3500,Brooklyn,120.22525762129668,4685985,Living room & Bedroom_Williamsburg,4357223,Itziar,Williamsburg,40.70574,-73.95552,Private room,120,1,0,,,1,0,12000
3501,Brooklyn,120.22525762129668,4691130,Cozy room in center of Park Slope,24253453,Lisah,Park Slope,40.67489,-73.97963,Private room,70,2,120,2018-01-04,1.93,2,228,7000
3502,Brooklyn,120.22525762129668,4691649,New Studio Loft in Williamsburg w/ Private Terrace,8501698,Meghan,Williamsburg,40.71971,-73.95919,Entire home/apt,140,4,1,2016-06-01,0.02,1,0,14000
3503,Brooklyn,120.22525762129668,4693338,"Brooklyn off J/Z, Newly Renovated",9123948,Chris,Bedford-Stuyvesant,40.68229,-73.91574,Private room,46,4,3,2016-01-03,0.04,1,0,4600
3504,Brooklyn,120.22525762129668,4694480,1000 SQ FT Cobble Hill Übercharmer,24268565,Daniel,Cobble Hill,40.68982,-73.99675,Entire home/apt,200,5,214,2020-05-16,3.09,1,332,20000
3505,Brooklyn,120.22525762129668,4694622,Cozy Garden Apartment in Bushwick!!,24269297,Caitlin,Bushwick,40.69935,-73.9228,Private room,55,5,51,2020-02-15,0.8,1,335,5500
3506,Brooklyn,120.22525762129668,4698707,NY TIMES Featured Dumbo Penthouse,5352419,Brian,Vinegar Hill,40.70213,-73.9838,Entire home/apt,550,20,1,2018-06-12,0.04,1,365,55000
3507,Brooklyn,120.22525762129668,4699061,Cosy room in Brooklyn!2min to Sbwy,24291213,Joerg,Sunset Park,40.64009,-74.01714,Private room,35,1,0,,,2,0,3500
3508,Brooklyn,120.22525762129668,4699123,Huge Bdr in Loft in Williamsburg,11708876,Paloma,Williamsburg,40.7114,-73.96293,Private room,90,1,0,,,1,0,9000
3509,Brooklyn,120.22525762129668,4699289,Charming two bedroom in Greenpoint,17014518,Jessica,Greenpoint,40.73039,-73.9541,Entire home/apt,180,1,0,,,1,0,18000
3510,Brooklyn,120.22525762129668,4699535,Light and Spacious your 1BR Fort Greene Apt Awaits,41358,Jen,Fort Greene,40.6908,-73.97332,Entire home/apt,155,2,1,2015-09-28,0.02,1,0,15500
3511,Brooklyn,120.22525762129668,4699963,"Cozy 1BD in PLG, Brooklyn!",24295835,Aaron,Prospect-Lefferts Gardens,40.66074,-73.96035,Entire home/apt,80,3,15,2017-05-24,0.22,1,0,8000
3512,Brooklyn,120.22525762129668,4700082,Fort Greene Brooklyn 1 bedroom apt,21409261,Trey,Fort Greene,40.69477,-73.97258,Entire home/apt,119,4,19,2017-07-23,0.28,1,0,11900
3513,Brooklyn,120.22525762129668,4700265,Fantastic Room in Williamsburg,14320459,Hillary,Williamsburg,40.70985,-73.94738,Private room,70,2,0,,,1,0,7000
3514,Brooklyn,120.22525762129668,4700565,Charming Bohemian Bushwick Apt,24298733,Tuva,Bushwick,40.69167,-73.92169,Private room,48,4,1,2015-08-22,0.02,2,0,4800
3515,Brooklyn,120.22525762129668,4700809,Cozy Two-bedroom Apt in a Cute House in Brooklyn!,24298733,Tuva,Kensington,40.6367,-73.97434,Private room,35,4,0,,,2,0,3500
3516,Brooklyn,120.22525762129668,4701749,Brooklyn Oasis,24304871,Heather,Flatbush,40.6536,-73.95811,Private room,50,2,23,2019-04-01,0.33,1,0,5000
3517,Brooklyn,120.22525762129668,4708314,Spacious Williamsburg Retreat,1265619,Felipe,Williamsburg,40.72018,-73.96055,Entire home/apt,120,6,12,2020-01-06,0.19,1,0,12000
3518,Brooklyn,120.22525762129668,4708609,Skyline View Piano Room,19972390,Melissa,Greenpoint,40.73262,-73.95795,Private room,55,1,24,2016-06-17,0.35,1,365,5500
3519,Brooklyn,120.22525762129668,4710315,Comfy 2Bdr Railroad in Greenpoint,129558,Osvaldo,Greenpoint,40.72907,-73.95468,Entire home/apt,135,2,8,2016-10-10,0.14,1,0,13500
3520,Brooklyn,120.22525762129668,4713896,Charming brownstone,10148113,Caylah,Bedford-Stuyvesant,40.68927,-73.94767,Private room,70,2,3,2015-02-04,0.04,1,0,7000
3521,Brooklyn,120.22525762129668,4716613,Private Room w/ Patio Near L Train!,2466294,Ian,Bushwick,40.70131,-73.91745,Private room,93,2,8,2018-05-21,0.13,2,362,9300
